"pizza_id","pizza_name_id","pizza_name","pizza_size","unit_price","pizza_category","pizza_ingredients"
"1","ital_supr_l","The Italian Supreme Pizza","L","20.75","Supreme","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
"2","mexicana_s","The Mexicana Pizza","S","12","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"3","spinach_fet_m","The Spinach and Feta Pizza","M","16","Veggie","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
"4","sicilian_m","The Sicilian Pizza","M","16.25","Supreme","Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
"5","ital_veggie_s","The Italian Vegetables Pizza","S","12.75","Veggie","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
"6","ital_cpcllo_s","The Italian Capocollo Pizza","S","12","Classic","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
"7","prsc_argla_m","The Prosciutto and Arugula Pizza","M","16.5","Supreme","Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
"8","southw_ckn_s","The Southwest Chicken Pizza","S","12.75","Chicken","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
"9","spicy_ital_s","The Spicy Italian Pizza","S","12.5","Supreme","Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
"10","ital_cpcllo_m","The Italian Capocollo Pizza","M","16","Classic","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
"11","mediterraneo_l","The Mediterranean Pizza","L","20.25","Veggie","Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
"12","mexicana_l","The Mexicana Pizza","L","20.25","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"13","spin_pesto_m","The Spinach Pesto Pizza","M","16.5","Veggie","Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
"14","southw_ckn_m","The Southwest Chicken Pizza","M","16.75","Chicken","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
"15","four_cheese_l","The Four Cheese Pizza","L","17.95","Veggie","Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
"16","ital_supr_s","The Italian Supreme Pizza","S","12.5","Supreme","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
"17","hawaiian_l","The Hawaiian Pizza","L","16.5","Classic","Sliced Ham, Pineapple, Mozzarella Cheese"
"18","pepperoni_l","The Pepperoni Pizza","L","15.25","Classic","Mozzarella Cheese, Pepperoni"
"19","hawaiian_s","The Hawaiian Pizza","S","10.5","Classic","Sliced Ham, Pineapple, Mozzarella Cheese"
"20","five_cheese_l","The Five Cheese Pizza","L","18.5","Veggie","Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
"21","green_garden_l","The Green Garden Pizza","L","20.25","Veggie","Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
"22","ital_veggie_m","The Italian Vegetables Pizza","M","16.75","Veggie","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
"23","spinach_fet_l","The Spinach and Feta Pizza","L","20.25","Veggie","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
"24","mexicana_m","The Mexicana Pizza","M","16","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"25","peppr_salami_m","The Pepper Salami Pizza","M","16.5","Supreme","Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
"26","calabrese_l","The Calabrese Pizza","L","20.25","Supreme","?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
"27","thai_ckn_s","The Thai Chicken Pizza","S","12.75","Chicken","Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
"28","pepperoni_s","The Pepperoni Pizza","S","9.75","Classic","Mozzarella Cheese, Pepperoni"
"29","classic_dlx_l","The Classic Deluxe Pizza","L","20.5","Classic","Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
"30","soppressata_l","The Soppressata Pizza","L","20.75","Supreme","Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
"31","bbq_ckn_s","The Barbecue Chicken Pizza","S","12.75","Chicken","Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
"32","cali_ckn_l","The California Chicken Pizza","L","20.75","Chicken","Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
"33","spicy_ital_l","The Spicy Italian Pizza","L","20.75","Supreme","Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
"34","ckn_alfredo_l","The Chicken Alfredo Pizza","L","20.75","Chicken","Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
"35","pep_msh_pep_l","The Pepperoni, Mushroom, and Peppers Pizza","L","17.5","Classic","Pepperoni, Mushrooms, Green Peppers"
"36","ital_cpcllo_l","The Italian Capocollo Pizza","L","20.5","Classic","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
"37","classic_dlx_s","The Classic Deluxe Pizza","S","12","Classic","Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
"38","calabrese_m","The Calabrese Pizza","M","16.25","Supreme","?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
"39","ital_supr_m","The Italian Supreme Pizza","M","16.5","Supreme","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
"40","hawaiian_m","The Hawaiian Pizza","M","13.25","Classic","Sliced Ham, Pineapple, Mozzarella Cheese"
"41","spicy_ital_m","The Spicy Italian Pizza","M","16.5","Supreme","Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
"42","spinach_supr_s","The Spinach Supreme Pizza","S","12.5","Supreme","Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
"43","ckn_pesto_m","The Chicken Pesto Pizza","M","16.75","Chicken","Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
"44","bbq_ckn_l","The Barbecue Chicken Pizza","L","20.75","Chicken","Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
"45","prsc_argla_s","The Prosciutto and Arugula Pizza","S","12.5","Supreme","Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
"46","napolitana_m","The Napolitana Pizza","M","16","Classic","Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
"47","calabrese_s","The Calabrese Pizza","S","12.25","Supreme","?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
"48","the_greek_s","The Greek Pizza","S","12","Classic","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
"49","spinach_supr_l","The Spinach Supreme Pizza","L","20.75","Supreme","Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
"50","cali_ckn_s","The California Chicken Pizza","S","12.75","Chicken","Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
"51","peppr_salami_l","The Pepper Salami Pizza","L","20.75","Supreme","Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
"52","pep_msh_pep_m","The Pepperoni, Mushroom, and Peppers Pizza","M","14.5","Classic","Pepperoni, Mushrooms, Green Peppers"
"53","ital_veggie_l","The Italian Vegetables Pizza","L","21","Veggie","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
"54","classic_dlx_m","The Classic Deluxe Pizza","M","16","Classic","Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
"55","the_greek_xl","The Greek Pizza","XL","25.5","Classic","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
"56","big_meat_s","The Big Meat Pizza","S","12","Classic","Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
"57","spinach_supr_m","The Spinach Supreme Pizza","M","16.5","Supreme","Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
"58","the_greek_l","The Greek Pizza","L","20.5","Classic","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
"59","green_garden_m","The Green Garden Pizza","M","16","Veggie","Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
"60","prsc_argla_l","The Prosciutto and Arugula Pizza","L","20.75","Supreme","Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
"61","thai_ckn_m","The Thai Chicken Pizza","M","16.75","Chicken","Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
"62","peppr_salami_s","The Pepper Salami Pizza","S","12.5","Supreme","Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
"63","cali_ckn_m","The California Chicken Pizza","M","16.75","Chicken","Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
"64","ckn_alfredo_m","The Chicken Alfredo Pizza","M","16.75","Chicken","Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
"65","spin_pesto_s","The Spinach Pesto Pizza","S","12.5","Veggie","Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
"66","ckn_pesto_l","The Chicken Pesto Pizza","L","20.75","Chicken","Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
"67","veggie_veg_s","The Vegetables + Vegetables Pizza","S","12","Veggie","Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
"68","sicilian_s","The Sicilian Pizza","S","12.25","Supreme","Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
"69","pepperoni_m","The Pepperoni Pizza","M","12.5","Classic","Mozzarella Cheese, Pepperoni"
"70","soppressata_m","The Soppressata Pizza","M","16.5","Supreme","Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
"71","mediterraneo_m","The Mediterranean Pizza","M","16","Veggie","Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
"72","napolitana_s","The Napolitana Pizza","S","12","Classic","Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
"73","spin_pesto_l","The Spinach Pesto Pizza","L","20.75","Veggie","Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
"74","thai_ckn_l","The Thai Chicken Pizza","L","20.75","Chicken","Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
"75","sicilian_l","The Sicilian Pizza","L","20.25","Supreme","Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
"76","the_greek_m","The Greek Pizza","M","16","Classic","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
"77","soppressata_s","The Soppressata Pizza","S","12.5","Supreme","Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
"78","ckn_alfredo_s","The Chicken Alfredo Pizza","S","12.75","Chicken","Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
"79","southw_ckn_l","The Southwest Chicken Pizza","L","20.75","Chicken","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
"80","the_greek_xxl","The Greek Pizza","XXL","35.95","Classic","Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
"81","spinach_fet_s","The Spinach and Feta Pizza","S","12","Veggie","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
"82","veggie_veg_l","The Vegetables + Vegetables Pizza","L","20.25","Veggie","Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
"83","ckn_pesto_s","The Chicken Pesto Pizza","S","12.75","Chicken","Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
"84","napolitana_l","The Napolitana Pizza","L","20.5","Classic","Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
"85","green_garden_s","The Green Garden Pizza","S","12","Veggie","Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
"86","bbq_ckn_m","The Barbecue Chicken Pizza","M","16.75","Chicken","Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
"87","mediterraneo_s","The Mediterranean Pizza","S","12","Veggie","Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
"88","brie_carre_s","The Brie Carre Pizza","S","23.65","Supreme","Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
"89","four_cheese_m","The Four Cheese Pizza","M","14.75","Veggie","Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
"90","veggie_veg_m","The Vegetables + Vegetables Pizza","M","16","Veggie","Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
"91","pep_msh_pep_s","The Pepperoni, Mushroom, and Peppers Pizza","S","11","Classic","Pepperoni, Mushrooms, Green Peppers"
